Word,Meaning
agitprop,"n.煽动宣传"
agrarian,"adj.土地的,农业的"
agreeable,"adj.令人愉悦的,欣然同意的,友善的"
airborne,"adj.空中传播的"
albeit,"con.j尽管"
alienate,"v.使疏远"
allege,"v.声称"
allegiance,"n.忠诚,效忠"
alleviate,"v.减轻,缓解"
allure,"v.诱惑, n.诱惑,吸引力"
ally,"n.同盟,盟友 v.与...结盟"
aluminum,"n.铝"
amalgam,"n.混合物"
amass,"v.积聚"
ammonia,"n.氨"
amnesia,"n.健忘症"
amorphous,"adj.无固定形状的"
amount,"n.数量"
ample,"adj.足够的,充足的"
analogous,"adj.类似的"
anatomy,"n.解剖,解剖学"
angular,"adj.角的,有角的"
animate,"adj.有活力的 v.使有生气,鼓励"
anionic,"adj.阴离子的"
anomaly,"n.反常,反常现象"
anonymous,"adj.匿名的,无个性特征的"
Antarctic,"n.南极洲,南极地区"
anthropogenic,"adj.认为的"
anthropology,"n.人类学"
antimatter,"n.反物质"
antiquated,"adj.陈旧的,过时的"
antithetical,"adj.对立的"
appetite,"n.口味,偏好"
appraise,"v.评价"
apt,"adj.倾向于做某事的"
aquatic,"adj.水生的"
arbitrary,"adj.武断的,随意的"
archaeology,"n.考古学"
arid,"adj.干旱的,无趣的"
aristocracy,"n.贵族"
arrest,"v.阻碍,阻止,逮捕,吸引"
articulate,"v.清晰表达 adj.表达清晰的"
artificial,"adj.人造的,人为的,假装的,不自然的"
ascribe,"v.归因于"
aspen,"n.白杨树"
assemble,"v.聚集,组装"
assert,"v.坚称,断言"
asset,"n.有价值的东西,资产"
assimilate,"v.吸收,同化"
assuage,"v.减轻"
asteroid,"n.小行星"
astounding,"adj.令人震惊的"
astronomical,"adj.天文的,极大的"
astute,"adj.精明的"
attest,"v.证明,证实"
attorney,"n.律师,代理人"
audacious,"adj.大胆的,放肆的"
auspicious,"adj.吉利的,幸运的"
authenticate,"v.鉴定"
authoritarian,"adj.专利的"
autonomy,"n.自治,独立自主"
avert,"v.转移,避免"
avid,"adj.贪婪地,急切的,热衷的,酷爱的"
awe,"n.敬畏 v.使敬畏"
awkward,"adj.笨拙的,缺乏技巧的,棘手的,不易处理的"
axis,"n.轴"
balk,"v.畏缩不前"
banal,"adj.平庸的,陈腐的"
baroque,"adj.豪华的,复杂的"
baseless,"adj.无根据的"
bauxite,"n.铝土矿"
bay,"n.海湾"
beaver,"n.海狸,河狸"
belie,"v.掩饰,与...不符,证明...的错误"
bemoan,"v.哀叹"
benevolent,"adj.仁慈的,慈善的"
bereave,"v.使...丧失,剥夺"
beset,"v.困扰"
bestow,"v.使用,授予"
bewilder,"v.使...迷惑"
binary,"adj.二进制的,二元的"
biodiversity,"n.生物多样性"
bishop,"n.主教"
bitter,"adj.痛苦的,猛烈的"
blur,"v.使模糊"
bog,"n.沼泽 v.陷入(沼泽或困难)"
boycott,"v.抵制"
brilliant,"adj.杰出的"
bronze,"n.青铜"
brute,"adj.粗暴的"
bump,"v.碰撞 n.隆起,肿块"
bypass,"v.避开"
canned,"adj.预先录制的"
canopy,"n.树冠,森林顶层"
capricious,"adj.善变的,反复无常的"
captious,"adj.吹毛求疵的"
capture,"v.获取,夺取"
catalog,"v.编目录,登记 n.目录"
catastrophe,"n.灾难"
celestial,"adj.天上的"
cellular,"adj.细胞的"
ceramic,"n.陶瓷"
cerebral,"adj.大脑的,理智的,智力的"
chagrin,"n.焦虑,悲痛"
chorus,"n.合唱队,合唱"
Christianity,"n.基督教"
chronicle,"n.编年史 v.按时间顺序记述"
chronological,"adj.按时间顺序的"
circumstantial,"adj.依照情况的,间接的,佐证的"
cleave,"v.坚持,粘住,劈开"
cling,"v.坚持"
clot,"v.凝固"
coax,"v.劝诱,哄骗"
cogent,"adj.有说服力的"
cognizant,"adj.认知的"
collaborate,"v.合作,协作"
collective,"adj.共同的,集体的"
collide,"v.碰撞,冲突"
combustion,"n.燃烧,骚动"
comet,"n.彗星"
comical,"adj.滑稽的"
comity,"n.友好,和谐"
commend,"v.称赞,委托,推荐"
commensurate,"adj.相称的"
commonplace,"n.普通,常见的事物,陈词滥调"
comparable,"adj.可比较的,相类似的"
compatible,"adj.兼容的,和谐共存的"
compensate,"v.补偿"
competing,"adj.相互矛盾的"
compile,"v.汇编,编写"
complement,"n.补充物 v.补充"
complicated,"adj.复杂的"
compliment,"n.恭维,称赞"
comprehensive,"adj.全面的,综合的"
compress,"v.压缩,缩短"
conceal,"v.隐藏,掩盖"
concede,"v.让步,承让"
conceivable,"adj.可以想象的,想象得到的"
concur,"v.同意,意见一致,同时发生"
condense,"v.浓缩,精简"
confer,"v.授予,商议"
confessional,"adj.告白的,忏悔的"
congenial,"adj.友善的,宜人的,意气相投的"
conjecture,"n.推测,猜测"
conjunction,"n.结合,联合"
consensus,"n.一致意见,共识"
consilience,"n.符合,一致"
conspicuous,"adj.显眼的,显著的"
consternation,"n.恐慌,不安,忧虑"
constrain,"v.强制,强迫,限制,限定"
construe,"v.理解,解释"
consummate,"adj.完美的 v.完成"
contain,"v.抑制,控制"
contend,"v.主张,声称,斗争,对付"
contentious,"adj.引起争议的,好争吵的"
contingent,"adj.依情况而定的"
contract,"n.合同 v.收缩,感染"
contrast,"n.对比,反差 v.对比,对照"
converge,"v.回汇集,汇聚"
convert,"v.转变,改变,皈依"
convey,"v.表达,传递,运送"
coordinate,"v.协调,调和 n.坐标"
coral,"n.珊瑚"
corrupt,"v.腐败,堕落 adj.腐败的,堕落的"
cortical,"adj.大脑皮层的"
cosmopolitan,"adj.国际性的,见多识广的"
counter,"v.反驳"
counterintuitive,"adj.违反直觉的"
crater,"n.陨石坑,火山口"
crystalline,"adj.晶体的"
cue,"n.线索"
cult,"n.狂热,崇拜"
cure-all,"n.万灵药"
cryptic,"adj.神秘的"
cursory,"adj.仓促的,匆忙的"
curtail,"v.缩减,限制"
cutaneous,"adj.皮肤的"
dabble,"v.涉猎,浅尝"
dampen,"v.抑制,削弱,弄湿"
daunting,"adj.使人畏惧的,使人胆怯的"
dearth,"n.缺乏"
debacle,"n.溃败"
decadent,"adj.堕落的,衰败的"
decay,"v.腐败,衰败 n.衰败"
decent,"adj.适当的,得体的"
deceptive,"adj.欺骗性的,"
decode,"v.破译,解读"
deduce,"v.推断"
deferential,"adj.恭敬的"
deforestation,"n.滥伐森林"
defy,"v.违抗,藐视"
degenerate,"v.退化,衰落,堕落"
degrade,"v.降低,贬低,恶化,分解,降解"
delegate,"n.代表,会议代表 v.委托,授权"
deleterious,"adj.有害的"
delight,"v.使高兴,喜欢 n.高兴"
delinquent,"adj.失职的 n.违法者"
demanding,"adj.苛求的,费力的"
depict,"v.描绘"
deplete,"v.大量减少,耗尽"
depress,"v.使降低,使减小,使沮丧"
derelict,"adj.被遗弃的,玩忽职守的"
derivative,"adj.衍生的,非原创的"
descent,"n.下降,衰落,血统,出身"
desirable,"adj.值得拥有的,令人满意的"
detached,"adj.客观的,公正的"
deter,"v.阻止,威慑"
deteriorate,"v.恶化,退化"
devastate,"v.毁灭"
devoid,"adj.缺乏的,没有的"
devolve,"v.下放(权利,责任),衰退,退化"
dextral,"adj.右手的,右旋的"
dichotomy,"n.矛盾,截然对立"
dictate,"v.命令,发号施令,决定,支配"
didactic,"adj.说教的"
diesel,"n.柴油"
diffuse,"ad允长的,啰嗦的,分散的 v.散布"
digit,"n.十进位,数字,指头,手指"
dilettante,"n.肤浅涉猎者,业余爱好者,一知半解者"
dilute,"v.稀释,淡化,削弱 adj.稀释的"
diminish,"v.减少,削弱"
dioxide,"n.二氧化物"
diplomatic,"adj.外交的,有手腕的"
dire,"adj.可怕的,迫切的"
disastrous,"adj.灾难性的"
discard,"v.抛弃"
discern,"v.察觉,辨识"
disciple,"n.弟子,徒弟"
discount,"v.打折,低估,贬低"
discrete,"adj.分离的,不相关的"
discretion,"n.自由决定权"
disinterested,"adj.无私的,公正的,无兴趣的,不关心的"
dismal,"adj.沮丧的,忧郁的,差劲的"
dispense,"v.分发,分配,摈弃,省掉"
disperse,"v.分散,驱散"
displace,"v.移置,替换,取代"
disprove,"v.反驳,证伪"
disregard,"v.忽视,漠视"
dissipate,"v.驱散,消失,浪费,挥霍"
dissolve,"v.溶解"
documentary,"adj.纪实的 n.纪录片"
doom,"n.厄运,劫数 v.注定,使在劫难逃"
dramatic,"adj.戏剧性的"
dual,"adj.双重的"
duplicate,"v.复制 adj.复制的"
ecclesiastical,"adj.教会的,基督教的"
echo,"n.回声 v.重复,模仿"
eclectic,"adj.多元化的"
eclipse,"v.使相形见绌 n.日蚀"
ecosystem,"n.生态系统"
egalitarian,"adj.平等主义的 n.平等主义者"
eject,"v.弹出,喷出,驱逐"
elicit,"v.引出"
eligible,"adj.有资格的,合格的,合意的,中意的"
elite,"n.精英"
elk,"n.麋鹿"
elliptical,"adj.隐晦的,椭圆的"
emblematic,"adj.象征的,标志的"
emulate,"v.模仿,努力赶超"
encase,"v.包裹住"
endanger,"v.危害"
endeavor,"v.努力 n.努力"
endow,"v.捐赠,资助,赋予"
engaging,"adj.迷人的,令人愉快的,"
envision,"v.想象,展望"
epic,"adj.史诗般的,宏大的"
episode,"n.情节,情况"
epistemology,"n.认识论"
epoch,"n.纪元,时代,时期"
equivalent,"adj.对应的,相等的 n.等价物"
erode,"v.侵蚀,腐蚀,削弱,损害"
erratic,"adj.不稳定的,古怪的"
escalate,"v.逐步增强,加剧"
esoteric,"adj.难懂的,深奥的"
esteem,"v.尊重,敬重, n.尊重,竞争"
ethanol,"n.乙醇,酒精"
exaggerate,"v.夸张,夸大"
exceptional,"adj.例外的,杰出的"
exert,"v.运用,施加"
exotic,"adj.来自异国的,迷人的,奇异的"
expedient,"adj.权宜的 n.权宜之计"
expel,"v.驱逐"
expire,"v.死亡,逝世,期满失效"
explicit,"adj.明确的"
exposition,"n.阐述"
external,"adj.外部的"
extraneous,"adj.无关的,外来的"
facade,"n.正面,假象"
facile,"adj.肤浅的,简单的"
fade,"v.褪色,变暗"
falter,"v.衰退,衰落,犹豫,畏缩"
fashion,"n.时尚 v.制作"
fault,"n.断层 v.挑错,批评"
feckless,"adj.软弱的,无能的,不负责任的"
feign,"v.假装"
fetter,"n.束缚"
fetus,"n.胎儿"
fickle,"adj.善变的,反复无常的"
fiction,"n.小说,虚构作品"
filter,"n.过滤器 v.过滤"
flaccid,"adj.软弱的,松弛的,不结实的"
flag,"v.衰落"
flagrant,"adj.骇人听闻的"
flamboyant,"adj.炫耀的,艳丽的"
flounder,"v.挣扎 n.比目鱼"
flourish,"v.繁荣,做夸张动作"
foray,"n.尝试,冒险,快速移动"
forestall,"v.预先阻止,领先"
forfeit,"v.丧失"
formulaic,"adj.公式化的,俗套的"
forsake,"v.抛弃"
forthright,"adj.直率的"
fortuitous,"adj.偶然的"
fractious,"adj.易怒的,难驾驭的"
fraught,"adj.忧虑的,充满的"
friction,"n.摩擦,摩擦力,冲突,不和"
fringe,"n.边缘,外围 adj.边缘的"
frivolous,"adj.不重要的,轻佻的"
frustrating,"adj.令人沮丧的"
fungus,"n.真菌"
galaxy,"n.星系,一群显赫的人"
galvanize,"v.激励"
garish,"adj.炫耀的"
garnish,"v.装饰"
gasoline,"n.汽油"
gauge,"n.测量仪器 v.衡量"
generic,"adj.普通的,通用的"
genial,"adj.和蔼的,友善的"
genius,"n.特征,本领,天赋,天才"
genre,"n.类型,体裁,风格"
genteel,"adj.有教养的,文雅的"
genus,"(动植物分类)属"
gild,"v.镀金"
glancing,"adj.倾斜的,间接的,附带的"
globular,"adj.球状的"
globule,"n.小球体"
glucose,"n.葡萄糖"
grandiose,"adj.宏伟的,壮丽的,浮夸的,华而不实的"
grant,"v.准予,承认"
gravel,"n.碎石,砂石"
gravitation,"n.重力,万有引力"
groan,"v.呻吟 n.呻吟声"
groove,"n.沟槽"
gullible,"adj.轻信的,容易上当的"
habitat,"n.栖息地"
hagiographic,"adj.过于奉承的,神圣化的"
haphazard,"adj.任意的,杂乱无章的"
harbor,"n.港口,庇护所 v.怀有"
haunt,"v.闹鬼,萦绕心头,经常去"
headway,"n.进步,进展"
hedge,"v.限制,阻碍,避免正面作答"
herbivore,"n.食草动物"
heritage,"n.遗产"
heroine,"n.女英雄,女主角"
histrionic,"adj.做作的"
hormone,"n.激素"
hortatory,"adj.劝告的"
hubris,"n.傲慢,自大"
hydrologic,"adj.水文的"
iconoclast,"n.反传统者,特立独行的人"
idealistic,"adj.理想主义的"
identify,"v.识别,确认"
ideology,"n.意识,形态,思想体系"
igneous,"adj.火成的"
imminent,"adj.即将来临的"
impact,"n.撞击,影响 v.撞击,影响"
impenetrable,"adj.无法理解的,无法渗透的"
imperative,"adj.至关重,强制的 n.义务"
imperious,"adj.专横的,紧迫的"
impoverish,"v.使贫穷,使枯竭"
impromptu,"adj.即兴的,无事先准备的"
improvise,"v.即兴而作,即兴表演"
imprudent,"adj.轻的,不谨慎的"
incense,"n.香味 v.焚香,激怒"
inclination,"n.倾向"
indignation,"n.愤慨"
indispensable,"adj.无可或缺的"
indolent,"adj.懒惰的"
inflame,"v.点燃,激起,加剧,恶化"
ingenuous,"adj.真诚的,坦率的"
innocuous,"adj.无害的,无意冒犯的"
inquisitive,"adj.好奇的,爱打听的"
insulate,"v.隔离,使绝缘"
integrity,"n.完整,正直"
intermediary,"adj.中间的,中介的 n.调解人,中介"
intervene,"v.介入,调解"
intimate,"v.暗示 adj.亲密的,密切的"
invigorate,"v.鼓舞,使振奋"
invoke,"v.援引,引用,祈求,请求"
irritate,"v.激怒,使恼怒"
isotope,"n.同位素"
jarring,"adj.刺耳的,震惊的"
jovial,"adj.欢乐的,愉快的"
judicious,"adj.明智的,有判断力的"
jumble,"v.使混杂,使混乱 n.混杂"
jungle,"n.丛林,混乱"
jurisdiction,"n.司法权,管辖权"
keen,"adj.敏锐的,热切的"
landslide,"n.压倒性优势的胜利,山崩"
largesse,"n.慷慨捐赠,捐款"
larva,"n.幼虫"
latitude,"n.纬度,自由权"
liable,"adj.易于...的,有义务的"
lighthearted,"adj.轻松愉快的,无忧无虑的"
like-minded,"adj.志趣相同的"
lionize,"v.崇拜,将...奉为名人"
list,"n.倾斜"
local,"n.场所,地点"
loose,"adj.松的,自由的,不受限制的"
loquacious,"adj.话多的,喋喋不休的"
lull,"n.平静时期,间歇 v.哄骗,使放松警惕"
maintain,"v.保持,坚称,认为"
malign,"adj.恶意的,有害的 v.诽谤"
malleable,"adj.易塑的,易受影响的"
mammal,"n.哺乳动物"
mammoth,"adj.巨大的 n.猛犸象"
manipulate,"v.操作,操纵"
marginal,"adj.边缘的,微小的,不重要的"
marvel,"v.对...感到惊讶 n.奇迹"
masterpiece,"n.杰作"
match,"v.与...相匹配 n.相匹配敌人"
materialize,"v.显现,出现"
maverick,"n.特立独行的人 adj.特立独行的"
meager,"adj.缺乏的,不足的"
meddle,"v.管闲事,干涉"
mediate,"v.调解,斡旋,影响...的发生"
memoir,"n.回忆录"
mercurial,"adj.善变的"
metamorphose,"v.彻底改变,变形"
metaphor,"n.暗喻"
mishandle,"v.错误地处理,对...处理不当"
misrepresent,"v.误述,不准确地描述"
mitigate,"v.减轻,缓和"
mobilize,"v.动员,调动"
modicum,"n.少量,一点点"
modulate,"v.调整,改变"
monolithic,"adj.单一的,巨大的"
monoxide,"n.一氧化物"
monsoon,"n.季风"
mood,"n.情绪,心情,态度,气氛,氛围"
motif,"n.主题,装饰图案"
motivate,"v.激励,驱使"
mundane,"adj.平凡的,普通的,尘世的,世俗的"
murky,"adj.昏暗的,浑浊的,晦涩难懂的"
mute,"adj.沉默的 v.使缓和"
myriad,"adj.极多的,各种各样的 n.无数,大量"
naivete,"n.天真,幼稚,质朴"
neutron,"n.中子"
noble,"adj.贵族的,高贵的,高尚的,崇高的"
nostalgia,"n.怀旧,怀念,思乡"
notion,"n.概念,观念"
nourish,"v.助长,促进"
noxious,"adj.有毒的,有害的,令人厌恶的"
nuance,"n.细微差别"
obsolete,"adj.过时的,淘汰的"
obtain,"v.获得,实现"
oceanic,"adj.海洋的"
odds,"n.几率"
odious,"adj.令人厌恶的,可憎的"
onset,"n.开始,进攻"
optimal,"adj.最佳的"
oscillate,"v.摆动,振动"
ostentatious,"adj.炫耀的"
outstrip,"v.超越,胜过"
override,"v.比...重要,凌驾,推翻,否决,不理会"
overshadow,"v.比...重要,使...相形见绌"
oversight,"n.疏忽,失察,监督,照顾"
overt,"adj.公开的,明显的"
overwrought,"adj.极度兴奋的,过度考究的"
paleontology,"n.古生物学"
panacea,"n.万能药"
panache,"n.派头,神气十足"
pandemic,"n.流行病 adj.大范围流行的"
parody,"n.拙劣的模仿"
passionate,"adj.充满激情的,狂热的"
passive,"adj.被动的,消极的"
patent,"n.专利权 adj.明显的 v.得到...的专利权"
pecuniary,"adj.金钱的"
peddle,"v.兜售,贩卖,宣传,散布"
penchant,"n.爱好,嗜好"
penetrate,"v.穿透,渗透,理解,领悟"
perfunctory,"adj.敷衍的,潦草的"
perish,"v.毁灭,死亡,暴死"
perplexing,"adj.令人困惑不解的"
persistent,"adj.持续存在的,坚持不懈的"
perturb,"v.扰乱,使不安"
photon,"n.光子"
photosynthesis,"n.光合作用"
pigment,"n.颜料,色彩 v.给...上颜料"
plague,"v.使烦恼,折磨 n.瘟疫,灾祸"
plasma,"n.等离子体"
plastic,"adj.可塑的,虚假的"
plateau,"n.高原"
poetry,"n.诗集,诗歌"
poignant,"adj.心酸的,令人痛苦的"
pointless,"adj.无意义的,无效的"
postulate,"v.假定,假设"
potency,"n.能力,权力,影响力"
potential,"adj.潜在的 n.潜力,潜质"
precursor,"n.先驱,前兆"
premium,"n.珍贵,额外费用,附加费"
prescribe,"v.规定,开处方"
pretense,"n.借口,虚假,虚伪"
pretentious,"adj.炫耀的,做作的"
prevalent,"adj.普遍的,流行的"
proclivity,"n.偏好,倾向"
prodigious,"adj.巨大的,惊人的"
proficient,"adj.精通的,熟练地"
prompt,"v.促使,推动 n.提示"
propitious,"adj.吉利的,有利的"
proponent,"n.支持者,拥护者"
proton,"n.质子"
prototype,"n.原型,样品,典范"
prowess,"n.高超的技艺,英勇无畏"
puncture,"v.削弱,使无效,刺穿"
Puritan,"n.清教徒"
qualify,"v.限定,使合格"
quantum,"n.量子"
quiescent,"adj.静止的,不活动的"
radical,"adj.激进的,根本的,重大的 n.根"
rage,"n.暴怒,狂怒 v.发怒,肆虐,盛行"
rarefied,"adj.稀薄的,深奥的"
rationale,"n.基本原理,理由"
rear,"v.抚养 adj.后面的,后部的"
reassure,"v.使...安心,打消疑虑"
rebound,"n.弹回 v.反弹"
reciprocate,"v.回报,交互,互给"
recollect,"v.想起,回忆起"
reconcile,"v.协调,调和"
recondite,"adj.晦涩难懂的"
recruit,"v.招募,招收"
redundant,"adj.多余的,过剩的"
